,frame,cell number,voltage,resistance,current,power,temperature_1,temperature_2
149,22,cell_3,3.906,0.322,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
150,22,cell_4,3.9,0.322,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
151,22,cell_5,3.9,0.327,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
152,22,cell_6,3.9050000000000002,0.327,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
153,22,cell_average,3.9011666666666667,0.3245,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
154,23,cell_1,3.5580000000000003,0.324,1.868,39.83883600000001,22.3,22.200000000000003
155,23,cell_2,3.552,0.325,1.868,39.83883600000001,22.3,22.200000000000003
156,23,cell_3,3.573,0.322,1.868,39.83883600000001,22.3,22.200000000000003
157,23,cell_4,3.501,0.322,1.868,39.83883600000001,22.3,22.200000000000003
158,23,cell_5,3.569,0.327,1.868,39.83883600000001,22.3,22.200000000000003
159,23,cell_6,3.5740000000000003,0.327,1.868,39.83883600000001,22.3,22.200000000000003
160,23,cell_average,3.5545000000000004,0.3245,1.868,39.83883600000001,22.3,22.200000000000003
161,24,cell_1,3.5580000000000003,0.324,6.538,139.43592600000002,22.3,22.200000000000003
162,24,cell_2,3.552,0.325,6.538,139.43592600000002,22.3,22.200000000000003
163,24,cell_3,3.573,0.322,6.538,139.43592600000002,22.3,22.200000000000003
164,24,cell_4,3.501,0.322,6.538,139.43592600000002,22.3,22.200000000000003
165,24,cell_5,3.569,0.327,6.538,139.43592600000002,22.3,22.200000000000003
166,24,cell_6,3.5740000000000003,0.327,6.538,139.43592600000002,22.3,22.200000000000003
167,24,cell_average,3.5545000000000004,0.3245,6.538,139.43592600000002,22.3,22.200000000000003
168,25,cell_1,3.533,0.324,7.083,150.046272,22.3,22.200000000000003
169,25,cell_2,3.533,0.325,7.083,150.046272,22.3,22.200000000000003
170,25,cell_3,3.551,0.322,7.083,150.046272,22.3,22.200000000000003
171,25,cell_4,3.473,0.322,7.083,150.046272,22.3,22.200000000000003
172,25,cell_5,3.548,0.327,7.083,150.046272,22.3,22.200000000000003
173,25,cell_6,3.5460000000000003,0.327,7.083,150.046272,22.3,22.200000000000003
174,25,cell_average,3.5306666666666664,0.3245,7.083,150.046272,22.3,22.200000000000003
175,26,cell_1,3.533,0.324,6.772,143.458048,22.3,22.200000000000003
176,26,cell_2,3.533,0.325,6.772,143.458048,22.3,22.200000000000003
177,26,cell_3,3.551,0.322,6.772,143.458048,22.3,22.200000000000003
178,26,cell_4,3.473,0.322,6.772,143.458048,22.3,22.200000000000003
179,26,cell_5,3.548,0.327,6.772,143.458048,22.3,22.200000000000003
180,26,cell_6,3.5460000000000003,0.327,6.772,143.458048,22.3,22.200000000000003
181,26,cell_average,3.5306666666666664,0.3245,6.772,143.458048,22.3,22.200000000000003
182,27,cell_1,3.533,0.324,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
183,27,cell_2,3.533,0.325,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
184,27,cell_3,3.4450000000000003,0.322,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
185,27,cell_4,3.339,0.322,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
186,27,cell_5,3.415,0.327,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
187,27,cell_6,3.517,0.327,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
188,27,cell_average,3.4636666666666667,0.3245,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
189,28,cell_1,3.533,0.324,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
190,28,cell_2,3.533,0.325,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
191,28,cell_3,3.4450000000000003,0.322,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
192,28,cell_4,3.339,0.322,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
193,28,cell_5,3.415,0.327,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
194,28,cell_6,3.517,0.327,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
195,28,cell_average,3.4636666666666667,0.3245,6.6160000000000005,137.49371200000002,22.3,22.200000000000003
196,29,cell_1,3.399,0.324,6.694,138.03697400000001,22.3,22.200000000000003
197,29,cell_2,3.424,0.325,6.694,138.03697400000001,22.3,22.200000000000003
198,29,cell_3,3.527,0.322,6.694,138.03697400000001,22.3,22.200000000000003
199,29,cell_4,3.339,0.322,6.694,138.03697400000001,22.3,22.200000000000003
200,29,cell_5,3.415,0.327,6.694,138.03697400000001,22.3,22.200000000000003
201,29,cell_6,3.517,0.327,6.694,138.03697400000001,22.3,22.200000000000003
202,29,cell_average,3.436833333333334,0.3245,6.694,138.03697400000001,22.3,22.200000000000003
203,30,cell_1,3.399,0.324,7.472,154.080112,22.3,22.200000000000003
204,30,cell_2,3.424,0.325,7.472,154.080112,22.3,22.200000000000003
205,30,cell_3,3.527,0.322,7.472,154.080112,22.3,22.200000000000003
206,30,cell_4,3.339,0.322,7.472,154.080112,22.3,22.200000000000003
207,30,cell_5,3.415,0.327,7.472,154.080112,22.3,22.200000000000003
208,30,cell_6,3.517,0.327,7.472,154.080112,22.3,22.200000000000003
209,30,cell_average,3.436833333333334,0.3245,7.472,154.080112,22.3,22.200000000000003
210,31,cell_1,3.399,0.324,9.107,187.50402299999996,22.3,22.200000000000003
211,31,cell_2,3.424,0.325,9.107,187.50402299999996,22.3,22.200000000000003
212,31,cell_3,3.497,0.322,9.107,187.50402299999996,22.3,22.200000000000003
213,31,cell_4,3.424,0.322,9.107,187.50402299999996,22.3,22.200000000000003
214,31,cell_5,3.438,0.327,9.107,187.50402299999996,22.3,22.200000000000003
215,31,cell_6,3.407,0.327,9.107,187.50402299999996,22.3,22.200000000000003
216,31,cell_average,3.4314999999999998,0.3245,9.107,187.50402299999996,22.3,22.200000000000003
217,32,cell_1,3.399,0.324,9.807,201.916323,22.3,22.200000000000003
218,32,cell_2,3.424,0.325,9.807,201.916323,22.3,22.200000000000003
219,32,cell_3,3.497,0.322,9.807,201.916323,22.3,22.200000000000003
220,32,cell_4,3.424,0.322,9.807,201.916323,22.3,22.200000000000003
221,32,cell_5,3.438,0.327,9.807,201.916323,22.3,22.200000000000003
222,32,cell_6,3.407,0.327,9.807,201.916323,22.3,22.200000000000003
223,32,cell_average,3.4314999999999998,0.3245,9.807,201.916323,22.3,22.200000000000003
224,33,cell_1,3.451,0.324,8.562,176.03471999999996,22.3,22.200000000000003
225,33,cell_2,3.351,0.325,8.562,176.03471999999996,22.3,22.200000000000003
226,33,cell_3,3.489,0.322,8.562,176.03471999999996,22.3,22.200000000000003
227,33,cell_4,3.424,0.322,8.562,176.03471999999996,22.3,22.200000000000003
228,33,cell_5,3.438,0.327,8.562,176.03471999999996,22.3,22.200000000000003
229,33,cell_6,3.407,0.327,8.562,176.03471999999996,22.3,22.200000000000003
230,33,cell_average,3.4266666666666663,0.3245,8.562,176.03471999999996,22.3,22.200000000000003
231,34,cell_1,3.451,0.324,8.562,176.03471999999996,22.3,22.200000000000003
