,frame,cell number,voltage,resistance,current,power
285,41,cell_6,3.537,0.322,6.6160000000000005,139.51159199999998
286,41,cell_average,3.5144999999999995,0.3185,6.6160000000000005,139.51159199999998
287,42,cell_1,3.444,0.318,7.005,147.71443499999998
288,42,cell_2,3.536,0.317,7.005,147.71443499999998
289,42,cell_3,3.601,0.314,7.005,147.71443499999998
290,42,cell_4,3.45,0.319,7.005,147.71443499999998
291,42,cell_5,3.519,0.321,7.005,147.71443499999998
292,42,cell_6,3.537,0.322,7.005,147.71443499999998
293,42,cell_average,3.5144999999999995,0.3185,7.005,147.71443499999998
294,43,cell_1,3.497,0.318,7.55,158.96525
295,43,cell_2,3.512,0.317,7.55,158.96525
296,43,cell_3,3.54,0.314,7.55,158.96525
297,43,cell_4,3.45,0.319,7.55,158.96525
298,43,cell_5,3.519,0.321,7.55,158.96525
299,43,cell_6,3.537,0.322,7.55,158.96525
300,43,cell_average,3.5091666666666668,0.3185,7.55,158.96525
301,44,cell_1,3.497,0.318,9.496,199.93828000000002
302,44,cell_2,3.512,0.317,9.496,199.93828000000002
303,44,cell_3,3.54,0.314,9.496,199.93828000000002
304,44,cell_4,3.45,0.319,9.496,199.93828000000002
305,44,cell_5,3.519,0.321,9.496,199.93828000000002
306,44,cell_6,3.537,0.322,9.496,199.93828000000002
307,44,cell_average,3.5091666666666668,0.3185,9.496,199.93828000000002
308,45,cell_1,3.497,0.318,6.849,144.54129600000002
309,45,cell_2,3.512,0.317,6.849,144.54129600000002
310,45,cell_3,3.586,0.314,6.849,144.54129600000002
311,45,cell_4,3.446,0.319,6.849,144.54129600000002
312,45,cell_5,3.519,0.321,6.849,144.54129600000002
313,45,cell_6,3.544,0.322,6.849,144.54129600000002
314,45,cell_average,3.5173333333333336,0.3185,6.849,144.54129600000002
315,46,cell_1,3.497,0.318,6.849,144.54129600000002
316,46,cell_2,3.512,0.317,6.849,144.54129600000002
317,46,cell_3,3.586,0.314,6.849,144.54129600000002
318,46,cell_4,3.446,0.319,6.849,144.54129600000002
319,46,cell_5,3.519,0.321,6.849,144.54129600000002
320,46,cell_6,3.544,0.322,6.849,144.54129600000002
321,46,cell_average,3.5173333333333336,0.3185,6.849,144.54129600000002
322,47,cell_1,3.507,0.318,7.083,149.231727
323,47,cell_2,3.458,0.317,7.083,149.231727
324,47,cell_3,3.595,0.314,7.083,149.231727
325,47,cell_4,3.446,0.319,7.083,149.231727
326,47,cell_5,3.519,0.321,7.083,149.231727
327,47,cell_6,3.544,0.322,7.083,149.231727
328,47,cell_average,3.5115,0.3185,7.083,149.231727
329,48,cell_1,3.507,0.318,7.239,152.51849099999998
330,48,cell_2,3.458,0.317,7.239,152.51849099999998
331,48,cell_3,3.595,0.314,7.239,152.51849099999998
